Name,Email,Location,Job Title,Job Type,Education,Employment Type,Practice Size,Area Type,Sponsorship,English Proficiency,Compensation
Eric Bryan,christopherdavis@example.org,"Phoenix, AZ",Orthodontist,DSO,DMD,Part-time,Small,Urban,No,5,126525.02
Manuel Boyd,david04@example.net,"Houston, TX",Pedodontist,DSO,DMD,Contract,Large,Urban,No,1,84779.68
Kristie Costa,danielmcpherson@example.org,"Chicago, IL",Pedodontist,Private Practice,DDS with Specialization,Full-time,Large,Rural,No,4,118894.91
Robert Collins,susangriffin@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,Temporary,Medium,Rural,Yes,3,138545.06
Jessica Levine,james92@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,Contract,Small,Rural,Yes,3,115403.0
Garrett Stanton,richardnorton@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD,Contract,Large,Rural,Yes,3,104822.33
Francisco Schmidt,gstephens@example.net,"New York, NY",Endodontist,Private Practice,DDS with Specialization,Temporary,Medium,Urban,Yes,2,109118.85
Kevin Jones,mayosusan@example.net,"Los Angeles, CA",General Dentist,DSO,DMD,Full-time,Small,Urban,No,3,120417.36
Patricia Smith,mcox@example.org,"Houston, TX",Orthodontist,Private Practice,DDS,Part-time,Large,Rural,Yes,4,146216.81
Teresa Brewer,hannah50@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,Full-time,Medium,Urban,Yes,5,134331.03
Todd Cooley,jeremy15@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,Contract,Small,Rural,No,4,116655.83
John Mckee,tylercervantes@example.org,"Houston, TX",Periodontist,Private Practice,DDS,Temporary,Large,Rural,No,1,130158.32
Scott Marsh,lphelps@example.com,"Chicago, IL",General Dentist,DSO,DDS,Contract,Large,Rural,No,5,108139.1
Jamie Stanley,williamsondeborah@example.com,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,Part-time,Large,Rural,No,1,134327.65
Hunter Rodriguez,dray@example.org,"Houston, TX",General Dentist,Private Practice,DMD,Full-time,Small,Urban,Yes,5,131370.0
Patricia Clark,dana16@example.com,"Phoenix, AZ",Endodontist,DSO,DDS,Temporary,Medium,Rural,No,4,147735.27
Morgan Howard,grayjoshua@example.com,"Phoenix, AZ",Periodontist,Private Practice,DDS,Temporary,Large,Rural,No,2,144265.35
Laura Silva,vangmitchell@example.com,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,Temporary,Medium,Urban,No,2,115438.74
Alexis Powell,pcarter@example.com,"Chicago, IL",Periodontist,DSO,DDS,Part-time,Large,Urban,Yes,4,124962.9
Robert Torres,victoria05@example.net,"New York, NY",General Dentist,DSO,DMD with Specialization,Full-time,Large,Rural,No,4,136615.44
Alicia Thornton,shane14@example.org,"Los Angeles, CA",General Dentist,DSO,DDS with Specialization,Full-time,Medium,Rural,Yes,3,83268.82
Melissa Allen,daniel19@example.org,"New York, NY",Endodontist,DSO,DDS with Specialization,Full-time,Large,Rural,Yes,4,140791.06
Sonya Norman,ohall@example.org,"Chicago, IL",Endodontist,Private Practice,DMD,Part-time,Large,Urban,No,5,143426.9
Edward Williamson,sergio42@example.com,"Houston, TX",Pedodontist,DSO,DDS,Contract,Large,Rural,No,3,126331.52
Joseph Nichols,anthony53@example.net,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,Contract,Large,Urban,No,1,107465.71
Julia Gallagher,dmeyer@example.net,"Los Angeles, CA",Endodontist,DSO,DMD,Temporary,Large,Rural,Yes,1,106725.29
Stacy Leach,alexisperez@example.com,"Chicago, IL",Periodontist,Private Practice,DMD,Part-time,Small,Rural,No,5,127997.13
Ann Chang,ujohnson@example.com,"New York, NY",Periodontist,DSO,DDS,Contract,Medium,Rural,No,1,96200.87
Samantha Hughes,reneepierce@example.net,"New York, NY",Endodontist,DSO,DDS,Full-time,Medium,Rural,Yes,5,116144.87
Craig Jordan,jaredberry@example.org,"New York, NY",General Dentist,DSO,DMD,Full-time,Large,Rural,Yes,3,92958.9
Erin Mckinney,smithralph@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS,Part-time,Medium,Urban,No,2,138794.97
Bryan Singh,martinshelly@example.com,"Chicago, IL",Pedodontist,DSO,DMD,Full-time,Large,Urban,Yes,3,88597.63
Andrew Stevenson,nancycosta@example.net,"Houston, TX",General Dentist,DSO,DMD,Temporary,Medium,Rural,Yes,5,121190.75
Chad Hughes,kristin93@example.net,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,Contract,Medium,Urban,Yes,2,115793.42
Joseph Perkins,tracey53@example.net,"Los Angeles, CA",Periodontist,DSO,DDS with Specialization,Contract,Medium,Urban,Yes,2,120499.39
Anthony Calderon,paynemeghan@example.com,"Houston, TX",Periodontist,Private Practice,DDS with Specialization,Temporary,Medium,Rural,No,5,86343.66
Kristen Hernandez DVM,uparker@example.net,"Chicago, IL",Periodontist,DSO,DDS,Part-time,Small,Urban,Yes,3,94097.24
Gina Nelson,stewartwilliam@example.net,"Phoenix, AZ",Endodontist,DSO,DMD,Contract,Medium,Rural,Yes,4,107627.87
Haley Duffy,julia42@example.com,"Chicago, IL",Endodontist,DSO,DDS,Temporary,Large,Rural,No,3,102095.42
Kelly Hicks,kylecox@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DMD with Specialization,Contract,Medium,Rural,Yes,5,117761.65
Christopher Johnson,terry92@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,Part-time,Large,Urban,Yes,3,98764.65
Lindsay Castro,andrew01@example.net,"Phoenix, AZ",General Dentist,Private Practice,DMD,Part-time,Small,Rural,No,2,93600.65
Benjamin Fisher,jeffrey85@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,Full-time,Large,Urban,Yes,3,124487.86
Shirley Sullivan,jcoleman@example.com,"Chicago, IL",Periodontist,Private Practice,DMD with Specialization,Full-time,Medium,Rural,Yes,5,123478.61
Kathryn Long,nathanwelch@example.net,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,Full-time,Large,Rural,No,2,133324.86
Sarah Martin,velezcrystal@example.net,"Chicago, IL",Orthodontist,DSO,DMD with Specialization,Full-time,Medium,Rural,Yes,4,96834.47
David Brown,brian44@example.net,"Houston, TX",Endodontist,Private Practice,DMD with Specialization,Part-time,Large,Rural,No,5,85281.45
Jessica Edwards,aclark@example.org,"Chicago, IL",Endodontist,Private Practice,DMD,Contract,Medium,Rural,Yes,4,87218.65
Kimberly Rivera,martinangela@example.net,"Phoenix, AZ",Periodontist,DSO,DDS,Part-time,Small,Rural,Yes,5,91036.68
David Williams,colonelizabeth@example.com,"New York, NY",Periodontist,Private Practice,DMD,Contract,Large,Rural,Yes,2,133135.78
Don Huynh,rodriguezanthony@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,Part-time,Large,Urban,Yes,2,82053.0
Ashley Barnes,aprilmay@example.com,"New York, NY",General Dentist,Private Practice,DMD,Full-time,Large,Urban,Yes,5,139302.66
Mrs. Deanna Neal,torresjoseph@example.org,"New York, NY",Pedodontist,Private Practice,DMD with Specialization,Contract,Small,Urban,Yes,2,126146.64
Michael Marquez,glarsen@example.org,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,Part-time,Medium,Rural,No,5,107233.11
Kristen Lee,torreselizabeth@example.com,"New York, NY",General Dentist,Private Practice,DMD with Specialization,Part-time,Small,Urban,No,1,105330.09
Emily Lang,spencernoble@example.net,"Phoenix, AZ",General Dentist,Private Practice,DMD,Full-time,Small,Urban,No,5,131640.96
Timothy Garza,dustin99@example.com,"Los Angeles, CA",Orthodontist,DSO,DDS,Full-time,Large,Rural,Yes,1,90931.45
Meredith Turner,bethany99@example.org,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,Full-time,Large,Urban,Yes,1,146396.46
