Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Jennifer Moore,heather23@example.org,"Chicago, IL",Periodontist,DSO,DMD with Specialization,13,Temporary,Medium,Urban,False,Basic,118486.11,435.61,Draw - Term More than 1 year,20.0,The production details,15.0,,15000.0,2000.0
Jack Phillips,nicholas17@example.com,"Houston, TX",General Dentist,Private Practice,DDS with Specialization,21,Contract,Small,Urban,True,Proficient,111867.86,411.28,Draw,10.0,,,,5000.0,2000.0
Jennifer Porter,smartin@example.org,"New York, NY",Endodontist,DSO,DMD with Specialization,18,Full-time,Large,Urban,False,Fluent,135150.66,496.88,Guaranteed,,,30.0,The collection details,10000.0,4000.0
Michael Miller,michellemiller@example.com,"New York, NY",Periodontist,Private Practice,DMD with Specialization,5,Temporary,Large,Rural,True,Proficient,141398.68,519.85,Draw - Term Less than 1 year,,,25.0,,5000.0,
Jermaine Rose MD,matthew68@example.com,"Houston, TX",Periodontist,Private Practice,DMD with Specialization,9,Part-time,Medium,Rural,True,Fluent,142059.83,522.28,Guaranteed,,The production details,,,5000.0,2000.0
Mark Williams,hayeskatherine@example.net,"Chicago, IL",Periodontist,Private Practice,DDS with Specialization,1,Part-time,Large,Urban,True,Basic,94977.33,349.18,Draw,15.0,,,,,6000.0
Jose Johnson,troycook@example.com,"New York, NY",Pedodontist,DSO,DDS,5,Temporary,Medium,Rural,False,Fluent,80016.38,294.18,Draw,,,40.0,,10000.0,6000.0
William Flowers,oreilly@example.com,"Phoenix, AZ",Endodontist,Private Practice,DDS with Specialization,10,Contract,Large,Rural,False,Fluent,108798.78,400.0,Draw - Term Less than 1 year,25.0,,,,,6000.0
Misty Marshall,sanchezcynthia@example.com,"Phoenix, AZ",Pedodontist,Private Practice,DDS with Specialization,27,Contract,Large,Urban,False,Basic,114356.54,420.43,Draw - Term More than 1 year,20.0,,10.0,,5000.0,4000.0
Melissa Johnson,ypayne@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS,13,Contract,Large,Rural,True,Basic,129220.06,475.07,Draw,25.0,The production details,,,15000.0,
Samuel Smith,millerashley@example.net,"Chicago, IL",Orthodontist,DSO,DMD,20,Part-time,Small,Urban,False,Fluent,82347.06,302.75,Guaranteed,,,25.0,The collection details,15000.0,4000.0
Brandy Brown,timothy92@example.net,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,29,Contract,Small,Urban,True,Native,99570.73,366.07,Draw - Term Less than 1 year,25.0,,,,10000.0,
Morgan Walls,jacobmiller@example.net,"Chicago, IL",General Dentist,Private Practice,DMD,10,Full-time,Large,Rural,True,Fluent,114695.07,421.67,Draw - Term More than 1 year,10.0,,40.0,,15000.0,6000.0
Mary Holland,steven83@example.org,"Chicago, IL",Endodontist,DSO,DMD with Specialization,17,Contract,Medium,Urban,True,Native,136543.05,502.0,Draw,30.0,The production details,30.0,The collection details,10000.0,2000.0
Rebecca Gamble,bennettjeremy@example.net,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,18,Contract,Large,Urban,False,Native,98545.92,362.3,Draw - Term More than 1 year,30.0,,50.0,The collection details,5000.0,
Jessica Key,yjames@example.com,"Phoenix, AZ",Periodontist,DSO,DMD,28,Contract,Small,Rural,True,Native,102926.39,378.41,Guaranteed,20.0,,50.0,The collection details,15000.0,4000.0
Austin Greer,zachary93@example.net,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,30,Part-time,Medium,Urban,False,Proficient,120372.9,442.55,Draw - Term Less than 1 year,,The production details,25.0,,15000.0,2000.0
Miguel Coleman,grant81@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,21,Full-time,Large,Rural,True,Basic,135618.62,498.6,Draw - Term Less than 1 year,,The production details,25.0,The collection details,15000.0,2000.0
Mr. Tyler Robbins,nguyenheather@example.org,"Phoenix, AZ",Periodontist,DSO,DDS,10,Contract,Small,Rural,False,Proficient,133951.19,492.47,Draw - Term Less than 1 year,40.0,The production details,25.0,The collection details,,4000.0
Joe Joyce,laurensmith@example.com,"New York, NY",Periodontist,Private Practice,DMD,22,Temporary,Medium,Rural,False,Native,103490.34,380.48,Draw - Term Less than 1 year,,,40.0,,5000.0,4000.0
Travis Foster,istone@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,10,Full-time,Large,Urban,True,Proficient,128976.91,474.18,Draw,40.0,,,,5000.0,
Joshua Parker,usmith@example.org,"New York, NY",Endodontist,Private Practice,DDS,25,Full-time,Small,Rural,True,Native,102219.86,375.81,Guaranteed,25.0,The production details,25.0,,15000.0,
Zachary Fox,joneskeith@example.org,"Phoenix, AZ",General Dentist,DSO,DMD with Specialization,7,Temporary,Small,Rural,True,Basic,135126.29,496.79,Guaranteed,,The production details,25.0,,15000.0,
Debra Anderson,collin85@example.com,"Phoenix, AZ",Periodontist,Private Practice,DMD,15,Contract,Large,Urban,True,Basic,148841.61,547.21,Guaranteed,,,40.0,,10000.0,2000.0
Karen Avila,jessicawilliams@example.net,"Phoenix, AZ",Endodontist,Private Practice,DMD with Specialization,12,Contract,Medium,Urban,True,Basic,126615.49,465.5,Draw,20.0,,40.0,The collection details,5000.0,
Rebecca Graham,vegarobert@example.net,"Chicago, IL",Pedodontist,DSO,DMD,5,Contract,Medium,Urban,False,Native,115077.98,423.08,Guaranteed,,The production details,30.0,The collection details,10000.0,
Shawn Martinez,lrandall@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,25,Part-time,Large,Rural,True,Basic,145683.38,535.6,Guaranteed,25.0,The production details,25.0,The collection details,5000.0,4000.0
Christopher Ford,jennifer56@example.net,"Houston, TX",Periodontist,DSO,DMD,6,Full-time,Large,Urban,True,Basic,143933.72,529.17,Draw - Term Less than 1 year,,,15.0,The collection details,5000.0,2000.0
James Robinson,kerry53@example.net,"Chicago, IL",Orthodontist,Private Practice,DMD,20,Part-time,Medium,Urban,True,Fluent,83050.84,305.33,Guaranteed,40.0,The production details,,The collection details,,6000.0
Joshua Morris,whitneywalls@example.net,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,10,Full-time,Small,Urban,False,Proficient,121180.04,445.51,Guaranteed,50.0,The production details,30.0,,10000.0,6000.0
Richard Lopez,juliasimon@example.org,"Chicago, IL",Endodontist,DSO,DMD with Specialization,7,Temporary,Medium,Rural,False,Native,109176.8,401.39,Draw - Term More than 1 year,,,30.0,,,6000.0
Jasmine Burns,davidle@example.net,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,17,Contract,Large,Rural,True,Fluent,114770.58,421.95,Draw - Term More than 1 year,10.0,,30.0,,10000.0,2000.0
Tina Richardson,ann56@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,7,Temporary,Large,Rural,False,Fluent,109270.24,401.73,Draw - Term Less than 1 year,20.0,,25.0,,5000.0,6000.0
Matthew Flowers,knightwillie@example.net,"Phoenix, AZ",Orthodontist,DSO,DDS,10,Full-time,Small,Urban,False,Basic,107457.51,395.06,Draw - Term More than 1 year,50.0,,15.0,,10000.0,4000.0
Jeanette Rodriguez,kristinastewart@example.org,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,24,Contract,Small,Urban,True,Native,94373.6,346.96,Draw - Term Less than 1 year,15.0,,10.0,The collection details,5000.0,4000.0
Theresa Morris,wbrandt@example.com,"Houston, TX",Endodontist,Private Practice,DMD,12,Full-time,Large,Urban,True,Proficient,100244.12,368.54,Guaranteed,20.0,,15.0,,5000.0,4000.0
Barbara Nelson,hallkeith@example.org,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,20,Part-time,Large,Rural,True,Fluent,80092.86,294.46,Draw,,The production details,10.0,The collection details,15000.0,4000.0
Carolyn Porter,mark89@example.org,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,12,Full-time,Large,Rural,True,Proficient,86670.23,318.64,Draw - Term More than 1 year,,,20.0,,,6000.0
Michael Harris,kterry@example.com,"Phoenix, AZ",Endodontist,DSO,DMD,8,Temporary,Medium,Urban,False,Proficient,134092.44,492.99,Guaranteed,,,25.0,The collection details,10000.0,4000.0
Elizabeth Stevens,fboyd@example.net,"Los Angeles, CA",Pedodontist,DSO,DDS with Specialization,1,Full-time,Large,Urban,False,Fluent,139984.47,514.65,Draw,,,30.0,,15000.0,6000.0
Lynn Lopez,nielsentimothy@example.org,"Chicago, IL",Endodontist,Private Practice,DDS,16,Full-time,Small,Rural,True,Native,89776.54,330.06,Guaranteed,,,,,,
Kevin Lewis,ualexander@example.org,"Los Angeles, CA",General Dentist,Private Practice,DMD,29,Part-time,Small,Rural,True,Basic,106874.59,392.92,Guaranteed,20.0,,30.0,The collection details,,2000.0
Michael Brandt,stephaniefarrell@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,0,Part-time,Medium,Urban,False,Basic,126121.38,463.68,Draw - Term More than 1 year,,,,The collection details,10000.0,2000.0
Sean Martinez,gavin38@example.org,"New York, NY",Periodontist,DSO,DMD,20,Temporary,Large,Urban,False,Proficient,88968.18,327.09,Draw - Term More than 1 year,,The production details,20.0,,,
Amanda Sanford,pryan@example.org,"Houston, TX",General Dentist,DSO,DMD,3,Contract,Small,Rural,False,Basic,100874.76,370.86,Draw,15.0,The production details,20.0,,15000.0,6000.0
Yolanda Garcia,eallen@example.org,"New York, NY",Pedodontist,Private Practice,DMD,23,Part-time,Large,Rural,True,Proficient,136721.98,502.65,Draw - Term More than 1 year,,,20.0,,,2000.0
Ryan Thomas,imoyer@example.org,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,1,Full-time,Large,Urban,True,Fluent,144123.53,529.87,Guaranteed,15.0,,10.0,The collection details,,
Amy Spencer,unoble@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DMD,6,Temporary,Small,Rural,True,Native,137523.63,505.6,Draw - Term More than 1 year,10.0,,10.0,The collection details,10000.0,4000.0
Devin Farley,cooperkenneth@example.net,"Houston, TX",Pedodontist,DSO,DMD,11,Part-time,Medium,Rural,True,Native,115036.6,422.93,Draw - Term More than 1 year,,,,The collection details,10000.0,4000.0
Andre Rodriguez,pschmidt@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD,16,Contract,Small,Urban,False,Basic,82298.09,302.57,Draw - Term Less than 1 year,50.0,The production details,40.0,,15000.0,2000.0
Fred Martinez,woodardkayla@example.com,"Chicago, IL",Pedodontist,DSO,DMD,13,Temporary,Large,Rural,True,Basic,84471.35,310.56,Draw - Term More than 1 year,25.0,The production details,,,15000.0,2000.0
Ashley Mcmahon,prowe@example.net,"Chicago, IL",Pedodontist,DSO,DDS,20,Part-time,Small,Rural,False,Basic,122787.24,451.42,Draw,25.0,,,The collection details,,
Michael Peterson,cookjim@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DMD,2,Part-time,Large,Rural,True,Proficient,126681.42,465.74,Guaranteed,20.0,The production details,,,10000.0,
William Wilson,bhansen@example.net,"Los Angeles, CA",Pedodontist,DSO,DMD with Specialization,13,Part-time,Large,Rural,True,Proficient,89343.65,328.47,Draw - Term Less than 1 year,30.0,,20.0,,15000.0,2000.0
Sara Rice,waltertaylor@example.org,"New York, NY",Periodontist,Private Practice,DMD with Specialization,27,Full-time,Large,Rural,False,Basic,128888.81,473.86,Draw,20.0,The production details,30.0,,,4000.0
Justin Barton,clopez@example.org,"New York, NY",Orthodontist,Private Practice,DDS,27,Temporary,Medium,Rural,True,Fluent,100963.64,371.19,Draw,20.0,,20.0,,,2000.0
Lauren Curtis,joshuagreen@example.com,"New York, NY",Pedodontist,Private Practice,DMD with Specialization,4,Temporary,Small,Rural,False,Basic,98406.06,361.79,Draw,30.0,,,,15000.0,2000.0
Tammy Hall,gkelly@example.org,"Los Angeles, CA",Endodontist,DSO,DMD,9,Contract,Medium,Urban,True,Proficient,80823.0,297.14,Draw - Term Less than 1 year,50.0,The production details,,The collection details,10000.0,2000.0
Tracy Benton,xsanders@example.com,"Chicago, IL",Pedodontist,Private Practice,DMD,26,Temporary,Small,Urban,True,Fluent,128407.32,472.09,Guaranteed,40.0,,20.0,,5000.0,4000.0
Susan Herrera,xnichols@example.org,"Los Angeles, CA",General Dentist,Private Practice,DMD,29,Contract,Medium,Rural,True,Fluent,86847.42,319.29,Draw - Term More than 1 year,25.0,The production details,25.0,,15000.0,4000.0
Brett Owens,melody90@example.com,"New York, NY",Pedodontist,DSO,DMD,1,Temporary,Medium,Rural,True,Fluent,86695.36,318.73,Draw,50.0,,30.0,The collection details,10000.0,4000.0
Nathan Mitchell,walkerchristina@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DMD with Specialization,23,Full-time,Small,Rural,True,Fluent,80541.1,296.11,Draw,30.0,,10.0,The collection details,10000.0,2000.0
Shannon Leach,cathykemp@example.org,"Houston, TX",Endodontist,Private Practice,DDS with Specialization,26,Part-time,Large,Rural,True,Basic,97277.48,357.64,Draw - Term More than 1 year,30.0,,25.0,,15000.0,4000.0
Brendan Thomas,gregoryray@example.net,"Phoenix, AZ",Endodontist,DSO,DDS,21,Contract,Medium,Rural,True,Fluent,132979.8,488.9,Draw - Term More than 1 year,,,15.0,,,
John Banks,michael02@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS,25,Contract,Small,Urban,False,Basic,144100.74,529.78,Guaranteed,,The production details,,The collection details,,4000.0
Matthew Ortiz,rhodeskristy@example.com,"Phoenix, AZ",Pedodontist,Private Practice,DDS,3,Part-time,Large,Urban,False,Native,99041.73,364.12,Draw - Term Less than 1 year,25.0,,50.0,The collection details,10000.0,
Jasmine Woods,stephaniedurham@example.com,"Phoenix, AZ",Orthodontist,DSO,DDS,5,Part-time,Small,Urban,False,Native,96667.1,355.39,Draw,20.0,The production details,50.0,The collection details,10000.0,2000.0
Robert Huffman,samuelkelly@example.org,"New York, NY",General Dentist,Private Practice,DMD with Specialization,29,Contract,Small,Rural,False,Proficient,96675.82,355.43,Draw - Term More than 1 year,,,,,15000.0,6000.0
Joel Rodriguez,silvamichael@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,9,Temporary,Small,Rural,False,Basic,116443.85,428.1,Draw,,,20.0,,5000.0,
David Levine,sarahjacobson@example.org,"Chicago, IL",Pedodontist,DSO,DDS,14,Temporary,Large,Urban,True,Basic,85587.77,314.66,Guaranteed,40.0,,30.0,,15000.0,
Daniel Martinez,hillsusan@example.com,"Phoenix, AZ",Periodontist,DSO,DMD,11,Full-time,Medium,Urban,True,Proficient,103834.21,381.74,Guaranteed,10.0,The production details,15.0,,10000.0,2000.0
Jenna Turner,meltonjennifer@example.com,"Houston, TX",Pedodontist,DSO,DMD,11,Part-time,Medium,Urban,False,Fluent,99270.53,364.97,Guaranteed,15.0,,,The collection details,15000.0,6000.0
Savannah Shaffer,chaneymelissa@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS,6,Part-time,Large,Urban,True,Native,91531.08,336.51,Draw - Term Less than 1 year,30.0,,15.0,The collection details,10000.0,
Shawn Winters,fschmidt@example.com,"Chicago, IL",Orthodontist,DSO,DDS,13,Temporary,Small,Urban,False,Proficient,87818.07,322.86,Draw - Term Less than 1 year,,,,,15000.0,6000.0
Connie Leonard,josephmatthews@example.org,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,6,Part-time,Large,Rural,False,Proficient,94743.05,348.32,Draw - Term More than 1 year,20.0,The production details,15.0,,5000.0,4000.0
Robert Perry,lutzjames@example.org,"Phoenix, AZ",General Dentist,Private Practice,DDS,5,Temporary,Small,Rural,True,Fluent,132980.86,488.9,Draw,,,15.0,The collection details,,4000.0
Amanda Woods,christopherdavis@example.com,"New York, NY",Orthodontist,Private Practice,DDS,29,Temporary,Medium,Urban,True,Fluent,96816.91,355.94,Draw,10.0,,,,15000.0,4000.0
Anne Burns,davidholloway@example.net,"New York, NY",Pedodontist,Private Practice,DDS,14,Temporary,Medium,Rural,False,Basic,89040.81,327.36,Guaranteed,30.0,The production details,,,,2000.0
Richard Robles,smithtyler@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DDS with Specialization,29,Contract,Medium,Rural,True,Fluent,119353.58,438.8,Draw - Term Less than 1 year,10.0,,40.0,,5000.0,4000.0
Beverly Alvarez,bradfordstephanie@example.com,"New York, NY",Endodontist,DSO,DMD with Specialization,9,Part-time,Small,Urban,True,Basic,117712.29,432.77,Guaranteed,40.0,,20.0,,,2000.0
Jo Roth,amanda84@example.net,"New York, NY",General Dentist,DSO,DDS with Specialization,20,Part-time,Small,Urban,False,Native,140840.0,517.79,Draw,40.0,The production details,,The collection details,10000.0,
Abigail Smith,josephhansen@example.com,"New York, NY",Periodontist,Private Practice,DMD with Specialization,18,Part-time,Medium,Urban,True,Fluent,107311.09,394.53,Draw - Term Less than 1 year,20.0,,50.0,,15000.0,2000.0
Jaime Figueroa,zterrell@example.net,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,8,Temporary,Large,Urban,True,Native,109055.05,400.94,Guaranteed,,,20.0,,,6000.0
Erika Martin,williammartin@example.com,"New York, NY",Endodontist,DSO,DMD with Specialization,10,Part-time,Medium,Rural,True,Proficient,84413.25,310.34,Draw - Term Less than 1 year,50.0,,15.0,,5000.0,2000.0
Dillon Brown,mcfarlanderika@example.com,"Chicago, IL",Endodontist,Private Practice,DDS,11,Contract,Medium,Urban,False,Basic,129003.4,474.28,Draw,50.0,,40.0,The collection details,5000.0,2000.0
Daniel Wilson,thomaslopez@example.net,"Chicago, IL",General Dentist,DSO,DDS,17,Contract,Large,Urban,False,Native,83302.48,306.26,Draw - Term Less than 1 year,40.0,The production details,15.0,,,2000.0
Karen Fletcher,hartmonique@example.net,"Los Angeles, CA",General Dentist,Private Practice,DDS,30,Contract,Small,Rural,True,Basic,141994.73,522.04,Draw - Term More than 1 year,10.0,The production details,,,5000.0,
Kathryn Foster,mendezholly@example.org,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,5,Temporary,Medium,Rural,False,Native,109218.82,401.54,Draw - Term Less than 1 year,30.0,,40.0,,,
Jacob Olson,kevin50@example.com,"New York, NY",Pedodontist,Private Practice,DDS,13,Contract,Small,Rural,False,Proficient,93913.21,345.27,Draw - Term More than 1 year,30.0,The production details,25.0,,5000.0,2000.0
Douglas Rodriguez,maria89@example.com,"New York, NY",Pedodontist,DSO,DMD,1,Full-time,Small,Urban,True,Fluent,114996.1,422.78,Draw,,,40.0,,15000.0,6000.0
Craig Woodward,rle@example.net,"New York, NY",Orthodontist,DSO,DMD,24,Part-time,Large,Urban,False,Basic,137216.57,504.47,Draw - Term More than 1 year,,The production details,,,5000.0,2000.0
Mary Murphy,popesheila@example.com,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,7,Part-time,Medium,Rural,False,Native,120985.39,444.8,Draw - Term Less than 1 year,25.0,,15.0,The collection details,5000.0,
Tara Horn,osmith@example.net,"Phoenix, AZ",Periodontist,DSO,DMD,4,Part-time,Small,Rural,True,Native,107354.43,394.69,Guaranteed,,,40.0,,5000.0,
Mrs. Shannon Cunningham,jonesdeborah@example.net,"New York, NY",Pedodontist,Private Practice,DMD with Specialization,0,Contract,Large,Urban,True,Proficient,128728.48,473.27,Draw - Term Less than 1 year,,The production details,10.0,The collection details,10000.0,
Leslie Castillo,christina03@example.org,"Los Angeles, CA",General Dentist,DSO,DDS with Specialization,8,Temporary,Small,Urban,False,Proficient,109861.83,403.9,Guaranteed,20.0,The production details,15.0,The collection details,,6000.0
Jennifer Duke,escott@example.com,"Houston, TX",Orthodontist,DSO,DMD,21,Temporary,Medium,Urban,True,Proficient,128106.87,470.98,Draw,15.0,,50.0,,10000.0,2000.0
Amber Strong MD,edavis@example.net,"Houston, TX",Orthodontist,DSO,DMD,27,Full-time,Medium,Rural,False,Proficient,141032.36,518.5,Draw,20.0,,,The collection details,,6000.0
Johnathan Nguyen,amberluna@example.net,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,25,Temporary,Small,Urban,False,Native,85896.12,315.79,Draw - Term Less than 1 year,25.0,The production details,10.0,The collection details,5000.0,2000.0
Matthew Henderson,zarmstrong@example.org,"New York, NY",Periodontist,DSO,DMD with Specialization,24,Temporary,Medium,Rural,True,Native,126798.49,466.17,Draw - Term Less than 1 year,,,30.0,,,
Michelle Burns,davisrebecca@example.com,"Houston, TX",Periodontist,DSO,DDS,13,Temporary,Small,Rural,False,Proficient,104949.36,385.84,Draw - Term More than 1 year,,The production details,,,,
Antonio Walsh,kimdana@example.net,"Los Angeles, CA",Pedodontist,DSO,DDS,5,Contract,Medium,Rural,True,Proficient,126604.29,465.46,Draw - Term More than 1 year,,The production details,,The collection details,5000.0,
Joshua Kim,dawnroberts@example.com,"Los Angeles, CA",Pedodontist,DSO,DDS,17,Full-time,Medium,Rural,True,Native,107111.39,393.79,Draw - Term Less than 1 year,40.0,,20.0,,15000.0,2000.0
Christian Green,margaretyoung@example.com,"New York, NY",Periodontist,Private Practice,DDS,1,Part-time,Small,Rural,False,Proficient,130527.66,479.88,Draw - Term Less than 1 year,40.0,,40.0,The collection details,,4000.0
Isabel Carlson,brooksjenny@example.com,"Houston, TX",Orthodontist,DSO,DDS,1,Part-time,Large,Rural,False,Proficient,83569.38,307.24,Draw - Term Less than 1 year,25.0,,40.0,The collection details,10000.0,4000.0
Craig Bass,garrisonjustin@example.org,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,21,Part-time,Small,Rural,False,Basic,96042.81,353.1,Draw,15.0,The production details,,,10000.0,2000.0
Bethany Rivera,larsondevin@example.org,"Chicago, IL",Periodontist,DSO,DMD with Specialization,9,Part-time,Medium,Urban,False,Basic,82706.09,304.07,Draw - Term Less than 1 year,40.0,The production details,15.0,The collection details,15000.0,6000.0
Mr. Christopher Nielsen,jason88@example.net,"Chicago, IL",General Dentist,DSO,DDS,19,Full-time,Medium,Urban,True,Fluent,82983.47,305.09,Draw - Term Less than 1 year,25.0,,50.0,,10000.0,
Bradley Harris,dwayne44@example.com,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,10,Temporary,Large,Urban,False,Proficient,99713.57,366.59,Draw - Term Less than 1 year,25.0,,,,,2000.0
Alexis Cunningham,joshuarivera@example.com,"New York, NY",General Dentist,DSO,DMD,10,Part-time,Large,Urban,True,Fluent,125393.63,461.01,Draw,50.0,The production details,40.0,The collection details,5000.0,
Matthew Garcia,cory81@example.com,"New York, NY",Endodontist,Private Practice,DMD,29,Full-time,Medium,Rural,False,Native,107565.01,395.46,Draw,25.0,The production details,50.0,The collection details,5000.0,6000.0
